sentiment,content
negative,Oh no... that bird is back
negative,oowww...why do wisdom teeth hurt so much
negative,Isnt looking forward to going back to work. 3 days off isnt long enough
positive,@SexySkins Miss you!!
negative,@drakesizzle  If you don't want to come then don't come. JEEEEEZ.
positive,omg. cat had a hairball. awake now.
neutral,@Helena210 No one to rub it in
negative,On my way to work! I'm runnin late and I'm sooooo tired!
negative,"@ladybug8320 ooh, work im afarid  looking forward to a sunny weekeknd tho!!!"
negative,"@theerealfdhc OMG, my regards to ur nephew. I'm sorry for ur loss"
neutral,@Mezandy me! @DOcreative
neutral,@blue_cupcakes  sometimes plugging it into 240 can fix problems..
positive,Omigoodness I feel like a popsicle
negative,i'm sick of waking up and feeling exhausted
negative,My paradise fly catchers abandoned their nest....  they are starting again... but it's gonna b tough
neutral,"sittin here bored az hell...nuffin 2 do at lyk 3:30 in da morning in monroe,louisiana!!!"
neutral,Working now
neutral,Moodle Intro training this morning... ages since i've done that... and only 2 bookings
negative,@dabobabo I can't believe this! Did they give you any reason?
neutral,but @pennyessex Humira isn't right for everyone. Some respond better to Enbrel. Ask your Rheumy. But not much long-term testing done
negative,"still ill. HOW LONG MUST THIS GO ON?! meh meh, stuck at home doing history revision til 10.30am"
neutral,"@benno37 I have been subtly replacing it with &quot;penetration testing&quot; when I see it, but nobody's caught on yet."
negative,"It is really hot now. I have shorts on and plenty of factor 20! No fish caught yet, they may be spawning"
negative,"@gleeding Need a tickettttt  Gah. Ya you've got me on there, reason346.. Haven't listened to dear Elliott for a few weeks...overdue.."
negative,I can't sleep!!  epp someone is awake and it scared the crap outta me!
neutral,says headache  http://plurk.com/p/wydaf
neutral,"On a day like today I would wear shorts and tshirt, but now I'm at DHQ it's office wear..."
negative,"One of these days I'm going to delete something really important   Someone, please, restrict my access!"
positive,"just got up, smoking a cig and drinking coffee.. i need to start working on my final project for the univ"
negative,hate this fucking cold. i can't stop sneezing. and claratyne only works for an hr or 2
negative,@YOitsEILEEN And web-less starting the day after that  #homeless
negative,just seen 1 of the fat single Mums from up the road &quot;seductively&quot; sprawled across some poor blokes bonnet. He probably needs new shockers
neutral,@hasin my bad
neutral,@vxpresxv aww... me too
negative,"cannot go, cannot refused to feel the pain"
positive,AH! so nice to be back on bike commute although three days off and my (what google sez are called) my quadriceps literally screaming. gah
positive,@iAmiAdam Hes away longer then me. Im only away for a few hours
negative,@ShomariW LOL. PR is AMERICA!!! LMAO!!! He dont like me... theres nothing I can do!
negative,I was hoping ABC will pick up &quot;king of the hill&quot; but they said no
negative,My poor andrew just had 2 of his wisdom teeth removed.  i wish he'll get better fast.
neutral,"wanting to nap, but if i sleep i might not wake up before kyle gets here  and sooo hungry."
negative,did not sleep a wink last night  X
neutral,@myinkyfingersAU I can't take it
negative,beautiful day... and im working  leaving now so i can get some sun though
neutral,@DonnieWahlberg lol i wos gona send mine in bt i was too late  xx
positive,@AriannaHalshaw Oh no
negative,went to bed last night with the feeling of a migraine coming and woke up feeling worse.
neutral,Cashflow forecasts are fun but big red numbers aren't
negative,today is my last day of high school! most things i do today will be my last time doing them..  pure CRAZINESS!
positive,"@truestepper Other people have their Glasgow ones, standing and seats, for all nights."
positive,@DJIronik hmm....well it aint that hot in hull lol   xx
negative,@skateramps omfg  whyyyyyy not that sucks!!! and r18?? wtf...  T.A.I. getcho' asses down here
positive,im going to work
negative,I got a new high speed Machine stuffed with latest technology for Development in office but it z crashed now
negative,"Bob Dylan - It Aint Me Babe. Important day today, tell you guys more later. Off to work, iIm late"
negative,@kateesslemont i tried. and failed
negative,Elena left this morning. Nine months spent living with her and now it'll probably be about 2 years till I see her again. Hmph.
negative,@Wiccawise21   We're idiots.  Ok mostly I was skint but hell I could've done something......
positive,"Just found out my kitty isn't pregnant  its a good thing though, we are going to adopt one instead"
neutral,On my way home in the sunshine with a bag full of my stuff from work...
negative,"Forced myself out of bed this morning, but failed to cycle in. Damn."
negative,I was sleeping soo good but just woke up like 10 mins ago n got sick  not feeling so great. I wanna go back to sleep but I'm wide awake.
negative,Happy Grey's day everyone! Oh I miss Grey's!!
neutral,i wish i can go to two different schools at the same time.
negative,"We'll be moving from a strength to a hypertrophy phase for chest, back, shoulders and arms for the next few weeks. Legs will stay behind"
negative,jerk josh! didn't even come meet me  - im thinking of a number guess ?
negative,i am not happy at all
negative,"Im regretting the alcohol I consumed last night, MY HEAD"
neutral,http://twitpic.com/6698b - Clean
negative,Bloody servers are down at work for at least 3 hours. Want to go home now!
negative,in the mailbox already for 2 hours
negative,@CourtneySit Hey are you quiet today or is it me...work was nuts today...no tweeting time
neutral,@trishastewart - ooh. Don't like horseradish  Any alternatives?
positive,"Feeling a little under the weather today  got a funny tummy - however, the sun is shining and I'm at home. Yay!"
negative,"Is in the badbooks again, don't know why I bother"
negative,@mrtrev *hug* yep I hate that meself
neutral,"@Odbod Yeah it's the Ford Focus Titanium, you only get the helicopter add on with the top-end luxury models unfortunately"
negative,In KL now took wrong turn after Sg Besi now jam in city center
negative,im so hungry and i have nothing to eat
negative,@JeremyTheXIV i take it you're not a fan
negative,That was a  and it's because I missed too many leg sessions recently.
negative,"oooh battlestar galactica is on the other channel. it's the rebellion episode! man, i feel so sad about what became of gaeta.  i liked him"
negative,@EPMorgan I can't even do that  not good!!
negative,"eughhhh feels really ill today  - headache, bunged up and a sore throat - hayfever?"
negative,won't be going to the Oxford Internet Institute Sunner Doctoral Programme in Brisbane: lack of funding
neutral,@JackAllTimeLow wish you we're coming to Perth
negative,@ijoostin Not so good  I think that's my fault though - didn't use buttermilk. Recipe was on back of the flour.
neutral,@Damevegas am alive   but at work   finish at 1300   sun is out
negative,@rookiepaul that doesnt sound like a good situation
neutral,headed to the hospital. i can't take the pain anymore
negative,@steamsmyclams @ADalrymple I'm not a big fan of Costa  I ended up going to EAT as they have one outside our office!
negative,"absolutely boiling! Got factor 50+ on! Must not turn orange, must not look like oompa lumpa... My left shoulder is burnt from yesterday"
negative,Waiting for the bus. The bus is going to be uncomfortably hot I bet
neutral,should be going nfg tonight
negative,@imnothelz Oh that can't be nice
negative,@kirsty_l I got excited when I thought that exhibit was in Sydney. But it's not
negative,@lordofleisure Will have to it's only across the water and all. Just damned expensive
neutral,It's cause you give me a reason to assume.  - http://tweet.sg
positive,so during that whole whole addiction talk with my brother and that lady....i broke down and couldnt help but cry
negative,Wish someone would by my 90mm Mamiya MF lens. Needs the money
negative,Just got bullied by Dillah.  HELP!
negative,i can't studyyyyyyyyyyyyyyyyyyyyyyyyy  i have an exam tom
positive,damjust finished watching Prison Break: the final break...omg i dont think i've cried so hard for a show..Finally understand the finale
neutral,"up and about to do my hair...ugh, i dont want to go to work today!"
negative,"Slept 7pm-almost 10pm, didn't fall asleep again until 3am, got back up at 5am. Aw, school."
neutral,@mayhemstyle Well I live in Ohio  but here's our California parks: http://tinyurl.com/nmr7pc
negative,dam just finished watching Prison Break: the final break...omg i dont think i've cried so hard for a show..Finally understand the finale
negative,princess_I have to pack up my house today.. ButIneedhelp
negative,won't be going to the Oxford Internet Institute Summer Doctoral Programme in Brisbane: lack of funding
positive,"@effyobie LOL. dood, i love you and miss you."
neutral,Seems like i'm the only person over here doing postal voting for the upcoming election ... been there already twice to get the documents
negative,is still waiting.
positive,if someone had've told me things would get this hard..i would never have done it
negative,"I want to see my friends  Mindless fun. No work, all play. All drunk, all walwal. All being mean to each other and sleeping in one bed"
neutral,signed up for broadband today could take 4-6 weeks
negative,I failed my maths exam today. fxxxmylife
neutral,?ï¿½ nh?n ???c bonus r?i. Ch?c ch? ?? bï¿½ vï¿½o kho?n unpaid leave
negative,afaik A LITTLE SAD THAT CROCCOS IS NO LONGER AVAILABLE FOR SALSA WED NIGHTS. BUMMER!!!!IENJOYED GOING THERE WED NIGHTS.
negative,i know i was wrong. maybe i shouldnt did all of those fuckin things like that
positive,"OMG, it's JULY'S LAST DAY!"
negative,Cross Country was today...Hmmphh my feet hurt
neutral,Bacon Fail.  Ended up with a commiseration muffin
negative,@irrationallogic Yeah daw. Awww...  Wear a mask na!
positive,Working at home  Wifi not reaching the garden
positive,@Impala_Guy Maybe we will meet later again my friend - would luv too )) Iï¿½m still at the office and have a lot of work
negative,"was doing a hard copy doc review,while writing comments realized 've forgotten writing i.e. on paper,can hardly recognize or read it back"
negative,"&quot;sometime around midnight&quot; by The Airborne Toxic Event, literally cannot escape it. FML"
negative,My cold now seems to me settling on my chest  worried I am sounding like a typical man with flu !
positive,@TaylaMe3 id poke u...on face book but u dont have 1  lol
negative,Enjoying the sun with a heavy heart no depeche this weekend  no spending time with the man I love too double gutted
neutral,"@timwhitlock err you can turn on optimized js+css &amp; caching once we deploy the thing, but I hear what you're saying"
negative,"has a headache. wants to go out but doesn't think it's worth it, maybe, i don't know"
negative,stranded @ delhi Airport  flight delayed
negative,will b having my last V tomorow   will have2live off of apples n not caffeine ;( n have2cut down on chocolate bye bye chocy
positive,"OMG, it's JULY'S LAST DAY!  @ Muchachomalo"
negative,Is Sitting Alone In A Very Quiet House !
negative,Has that sinking feeling that it's all about to go t*ts up.....bracing myself for the comedown
negative,is having brain blockage in musical thoughts
negative,Hey now that I'm on a roll everybody in twitter-ville is sleeping  grrr I never WIN :/ http://myloc.me/1Y2J
negative,"Can't sleep, clowns will eat me"
positive,Goin 2 eat some SMACKS 4 breakfast then getting started on my day- catch ya on the flipside- I really wish I cud go mobile-dang Bahrain
neutral,@deabarnes why??
negative,"Sick, sick, sick. This sucks. i can't even breathe properly"
negative,It's /far/ too sticky hot today. I do wish my cars air conditioning worked
negative,"Aaaa! I need to work today, Why cant i ever get the weekends off? It makes me want to cry"
neutral,@atlumschema thank you! need to pass my test first
positive,@pntbtrkisses WHAT! That's horrible! To purposely write about it to a bunny is just mean &amp; cruel!    Not to mention just plain tacky....
negative,"@filanfurball sorry bout 2day  bloody typical,goin 4 a laydown now feel sick again,ooo this not nice x"
negative,"I'm up. getting ready for skill. can't wait to fail my bio final yay! ugh, honor classes suckkkk.  ):"
positive,@Moyo88 oh no! I woke up accidentally.  how can we get you to fall asleep? Should I scare you with P2 or P3 stories? JK!
negative,The doggy is sad  cheer up Jessie!
negative,@paulshadwell Thanks for trying! Done just that and no good  If I can't fathom it I'll take it to Apple Store. Sigh...
neutral,"@Kaneth yeah, we couldn't get there today  was the showreel playing?"
neutral,"@pickassoreborn thanks, now its going to rain all weekend"
negative,im sick and sad its cold
positive,"Just finished work nd now waiting in the freezing cold drinking a mango magic, haha FAIL T.T mama, wheree are yu ? I'm cold"
neutral,Good morning/afternoon/night to all.....studying as usual!
negative,sick of having constant bad dreams  grr
negative,@epic_zorz_peep count yourself lucky i was gonna say the OTHER word instead...and rsvp...sorry i cant come to ur birthday...day?
neutral,@sazzzle my forehead is starting to peel  not impressed
neutral,Ugh 2 days whatever to somewhere
negative,Is feeling like he has a bad flu. Yes. Bad. Flu.
negative,Ohhh  only a bit of time left to have an account on the forums.. I do hope I get to be a leader some day :/
negative,i wish i could of been at commencement this yr  i wonder if they're really going to protest.
negative,I would Join you shopping but i have work all weekend  six degrees of seperation is confsuing
negative,isn't singing Oh what a beautiful day though it is from the musical Oklahoma  due to insomnia and a lot of noise outside motelroom
negative,Why am I limited to only being able to sync with 1 MS Exchange account on iPhone?  ... same goes for Outlook. Why can't I have more? Lame.
negative,"It's a beautiful day outside today, shame I'm stuck in the office with the blinds shut to stop glare."
neutral,@chunghow3 prolly E71... I can't think of anything else and I'm unfortunately not a Singtel customer
negative,@Jenniferlai7 What can you say about Jayk??I'm pretty pissed at pretty much everything right now
neutral,Tired of hearing stories about everybody going to Ibiza...
negative,@quwanaisnotmynm no  the love of my life is. so i guess now im definately shooting for good
positive,"Aaaagh, aircon not working in my office"
negative,"@sofiacoyiuto my mac's hard drive crashed then i brought it to powermac, they couldn't recover the files  no back up ("
positive,@iPat143  hmm.. idk that song.
negative,Why am I always the one on time. They are always late. I wanna sleep. I miss Mere.
negative,@RedMummy And it's such glorious weather too - poor you
negative,So sick &gt;.&lt; feeling shitty whole body aching!! Hope I get well before boo boo's grad show   sighs.........
negative,Never has a 2pm finish looked so enjoyable. Pity I'm teetotal for another week
negative,Doing accounts revision. Boo
negative,Wide awake and grouchy as fuck.
positive,i miss justin timberlake's voice. i want him to make new album again
negative,@_supernatural_ more Demon Sam!! I need it to numb the pain  xXx
negative,i keep coughing my guts up
negative,Why am I limited to only being able to sync with 1 MS Exchange account on iPhone?  ... same goes for Outlook. Why... http://bit.ly/etB8H
negative,"Really Wish i could see dave from @reemerband again, missing him already"
negative,Its so hot here
neutral,needs 1000 words for 502 part 2 .... then freedom ..... until another few assignments and exams
neutral,"@fladdermus_a  ??????, ??????????"
negative,@lucyburchell sorry we didn't get a chance to chat at #screengrab09. Caught glimpse of you across room but was dragged home prematurely
negative,@torilovesbradie last thursday or yesterday that sucks i missed it  was it at lunch time ox
neutral,Totally just skid all over the road.
neutral,@DonnieWahlberg and now I have to shut computer down and get ready to go home from work....what a bummer.
positive,Getting stressed over a sortie tomorrow. And like I am really really stress..
negative,@TVXQUKnow  I feel tired of my work  Cheer for me please~
negative,@pntbtrkisses I agree with @Dog_Crazy it's not worth it - block them &amp; let Twitter police know about harrassment.
positive,sadly  brother told me there are no skateparks where he lives. BUMMER!
negative,@dannymasterson Miss you in that 70s show!!!!!!
negative,home alone and no one left me any gummy bears
negative,feels guility . sorry 'bout that  http://plurk.com/p/wyqow
negative,Woke up at 8:30am....now 10:30am and no clue what to do....?
neutral,@TheSims3 well us Brits have to wait a few more days for it!  I thought it was all gonna realized at once! I guess it's worth the wait!
negative,tomorrow will be my last day in work.. how sad.. bye Ange
negative,Why did I agree to work on this gorgeous day?
negative,uhh I wish someone would include me in their follow friday - would be great to get more followers
neutral,waiting for landlord to come see about our shower
neutral,@BeckyKingston I don't think I've ever tried peanut butter on toast
negative,@sixjaw i can so sympathise with that
negative,wished didnt spend money last night
negative,what?! i just missed home + away! nooooooooo
positive,baby alex i miss you  ily&lt;3 good night&lt;/3
positive,"Japan is treating me good as of now...don,'t know how long"
positive,"Morning world, the sun seems to have gone away, maybe to Majorca or some other popular tourist spot. Hope it comes back soon"
negative,will miss jay leno ..
negative,"@_supernatural_ http://twitpic.com/6695k - hhaha, now i wanna cry too"
negative,"I don't feel well. I feel like i could throw up, and my throat hurts really bad! Sad day"
negative,I stung myself with stinging nettles all down my shin
positive,@hartluck Oooh but your not coming to Perth  that sucks but you still Rock!
neutral,why im not sleeping  !!
positive,@jodieharsh Ahhh so Jealous!  Have a nice time and I'll see you when you get back x
positive,i don't understand the whole follow friday thing?
negative,"made dentist appointment. 9th of June. feel sick and nervous already  However. Ibprofen, Paracetemol and Codeine are my friends. *sigh*"
negative,I dreamt someone committed suicide w a drip stand!  - http://tweet.sg
neutral,@deepwarren you're not gonna paint me? oh well  ;)
negative,I did not twitt yesterday cause it was a very busy day but I'll be back tomorrow  BTW I can not sleep  I'm like in zombie mode @_@
neutral,i think that studying has really started taking its toll..
positive,"I'm not looking forward to working over the next 8 days! Come next Sunday, I may or may not be dead"
negative,"sigh, still SEOs are submitting their client sites with part or no contact information on, I really don't know how to make them read"
negative,@brentoli oh no  say it aint so
neutral,"@ArvindRocks - No work, but gotta be here till 9pm  Enna kodumai sir idhu..."
positive,why am i up so early
negative,"In the UK with no phone service  oh yea and still sick (cough, sniff)"
negative,"@LeahMul awh, thats not good,   get better soon!"
positive,@dilyaela nope not really only a sweatshirt.  oh and these really really awesome doughnuts haha
neutral,@LittlestarRed SIGH  How are you?
negative,Off to work now apparently sun shining not a valid excuse to stay home
positive,@sabrepulse you've got the H1N1 tsk tsk tsk it's a shame  haha feel better bro
negative,i am living in ignorance  :@
neutral,#liesboystell buzy this week
positive,The Renegades last day was today and...well... he's gone... didn't catch him  Gutted... Closest he came to Greenock was Kilmacolm!
negative,"Fyi- putting makeup on under flourescents = FAIL. ... oh face-peely, why must you look so hideous? Also, wheres my lipstick?"
neutral,Getting really guilty
neutral,@quwanaisnotmynm davey is
negative,"@JohnGreenaway dammit, no! one tweet from september, noodles is also taken"
negative,Not made it to work  couldn't get up feelin blurgh
negative,"It started out so lovely this morning, now looks like it's gonna chuck it down"
negative,exams are the worst mahn!! 2 to go
negative,trying to draw some manga/anime for our new website ... very bad idea!   http://bit.ly/k6iOv
negative,Such a nice day today but stuck indoors revising  3 weeks and it is all over!!
neutral,@ireallydohate nooooo dont do that.  I just get a rash of nobodies trying to sell me something.
neutral,cannot relaxing because she have to practice for her graduation
negative,"Loving the weather this weekend, shame i'm back into work tomorrow"
positive,The sun has gone in!
negative,i'm not ready for tomorrow's competition!
neutral,@ubudroi I *know*. It just took us that long to get around to it! Yes they do takeaway *and*seafood delivery. Forgot to get a menu
neutral,friends romans and country men lol ppl need 2 help me out and say i have twitter i dont have any friends   loner loner la da da
neutral,"@elwoodicious Crab boat? I have my mobile set to go off every night, to remind me to head to bed"
negative,i have the bigggest headache
neutral,Half term is almost over
positive,"i hate the fact that it is so nice outsidee, and im inside doing revisionn"
positive,@CristaltheGreat  ok Cristal we gonna tweet talk again when its not so late...just follow sweetie....tweethug 4 ya
negative,wants to feel better
positive,@herojaejoong Feel hungry now   Cook for me pleaseYour food it's my energy to work~
negative,@fiercemichi i havent got poked much
neutral,@DanielMiller89 They used to. Many moons ago.
neutral,@taraw07  cuss u siad u weren't having it...lol
positive,"@sweetkisses277 Yup, 1987 lol. SWEET YEAR  haha"
negative,@Parquette1 Haha! maybe I should try that. The insomnia is kickin' my butt
negative,awe.. gotta go.. my mom commands me to sleep already..
negative,Hulu Desktop looks nice but not for my region
positive,Just got refused a bottle of morgan's in tesco despite saying helen could verify my age...  shocking... Just left all the shopping! X
positive,Well that was an interesting attempt at the commute to work... didn't exactly plan to end up where I did though...great
negative,"Depressing day today, have to pack as leaving ridiculously early tomoro."
positive,@HospitalityMan  got the laptop but no golden rings  This weekend's job is to get it all set up - oh joy
neutral,home not well hate not workin
positive,well us Brits have to wait a few more days for it!  I thought it was all gonna released at once! I guess it's worth the wait!
negative,I knew I shouldn't have confessed to using phone to look up answers in pub quiz. A shame is now upon me
negative,Have been rolling on the bed for the past 2 hours ... Still unable to sleep
negative,Good morning tweeps. Busy this a.m. but not in a working way
negative,I had a bad dream an now i cant go to sleep   KEILIGIRL254
negative,I can't sleep without him nearby
negative,"Omg, I'm a murdere! I accidently just killed a spider"
negative,Aww.. I lost 3 followers.  FOLLOW ME !
neutral,is doing boring accounts stuff
negative,apparently even Novell Moonlight doesn't work on my Jaunty
negative,@BrodyJenner i live in manchester england but still have never been to london
positive,@jwpage your SMS managed to crash my phone.
negative,@RedBaff I have popcorn and fruitcake now...but it's just not the same as Chocolate
positive,@Jessums31 yup its working. they couldn't recover anything on it though
negative,"@hazelnutchoc Same as, it's BS I tell you! Ah well, better attempt some"
negative,@zachsang when nina picked up my call lastnight i didnt know she was talking to me and i like totally didnt answerr
negative,@johan__ thank You! I almost forgot hoe to type on the keyboard how long I was anway from my PC..
negative,LAST DAY in St Andrews.. i will spend it on west sands! and then packing
negative,@lislBR My brother shared his microbes with me
negative,@TheSims3 well us Brits have to wait a few more days for it!  I thought it was all gonna released at once! I guess it's worth the wait!
neutral,Rod stewart's new song
positive,Roommate is sssnoring :/ And my throat is so dry
negative,don't want to go!!!
positive,Back from London  Now just catching up on all the tv and sleeping all day!
negative,"@nixsight  yes indeed, makes it a bitch to try and design universally"
negative,@dublins98dave me too! I am down 400 euro
positive,@Fnoo was like that last night as well man. somebody didn't make it in time to the 30p loos
negative,Got three shots today.   I can't lift my arms...
positive,@trixie360 zombie wrangler sounds like fun. I don't have halo wars.
positive,Good morning from RSA Twitterverse!! Please send me some happy vibes &amp; cheerfulness today I'm feeling a little sad
positive,"early morning~2:30 am~what's up? I am!~~!!played w/ my babies outside~wow~was in the 80's~felt great!~~got lonely, misses sissy and jess"
negative,Ahh I'm so confused  what can I do? I don't wanna run away but can I really handle a real relationship? What is love anyways.. False hope!
neutral,"never did sleep last night  feeling horrible today, time to call work I thinks..."
negative,@steve228uk Awh I forgot you had the pox  Hope you get better soon!
positive,"@trixie360 trivia? Working, no computer!"
positive,Ive finished 4th year!!! Argh Uni is going soooooo quick
negative,@HelenH20 ugh! Tis so warm outside too  unfair! I want to go read and pack!
neutral,"@philiplinden @secondlife Blake Sea should have been a water sandbox (a la Cordova), but we can't rez objects and autoreturn is 5 mins"
positive,@Iam04 tea...  Mmmm crispy but no cake  Have headphones!
negative,its too early  i wanna go back to sleeep
positive,"Acquiring a CentOS live CD, now where did I put my memory stick, I would like to boot from that. I wonder if I left it at home"
negative,Still gutted that man utd lost
neutral,done washing our clothes.. i'm so tired..
positive,@babyexpat commercial shoot in Tokyo. not much time to play there   quick and dirty
negative,What a bad day!
negative,"feeling very stressed and strung out, awake at 4.50am, mind buzzing... and Mrs Dr. A is not talking to me"
negative,@simfin part 2: social networking??.. there is even room for people
positive,I soo wanna eat McDonalds Fries
positive,@calvin141170 If it's any consolation I've had to abandon the back garden thanks to my super-reflective laptop screen
negative,"Omg I want TF2, everybody on my Steam Friends list is playing it"
positive,"i want my WOOSOO like now plz  i gant wait, knowing she's so close is driveing me NUTTS"
negative,"@Ste1987 Feel your pain with the hayfever - forgot to take mine yesterday, again."
negative,@MGChislett  Is there going to be any more TAI TV? Ah I hope so
negative,@JamanthaLopez it was me the whole time I did a ton of things so u would believe me but u wouldn't listen or let me prove it. Or blve me
negative,Can't believe ER is over
negative,Thinking about someone. Now a days I think more and code less  What is it...?
negative,@katemthompson I wish I could still drink it but I had two bad nights with white wine in London and then I was sick for almost a week
negative,"Stupid me, accidentally gave my honey the Atomic flavored buffalo wings and now his stomach feels just awful..... Im sorry baby"
negative,":O Job interview today, i'm really gonna mess this uuuup"
negative,"@naomijade Heavens, not good  I can empathise. Fingers crossed it doesn't come to anything and you can sleep easy. Wishing for the best..."
negative,eww. cant sleep and its 2:38 am
neutral,woke up an hour early just to study for        a test
positive,@sengming learning tat the scenic way  din plan to go town but somehow was herded there?
positive,@bronte_saurus Oh. Hrmmm in that case I have no idea. And I only just realised you're talking about THAT bike! Solly
negative,i need people to talk to me please im very bored  x  follow me!
neutral,@ilicco I don't have an invite  i might try Mr P Bale for an invite
positive,Still soo tired..not ready to get up for the day...work again
positive,@nzclothnappy we can all but hope... georgia is still wide awake and has the hiccups
negative,Its times like these that I miss Manila. I'm not feeling up to myself lately
negative,"No AC, the fan doesnt swing our way ... we are sweating it out on a hot humid day"
neutral,@virginmedia is there something wrong with the internet in chelmsford? my tv on demad isnt working right and my internet is SUPER slow
negative,"Seriously, google, WTF? I don't feel online if I can't get into my inbox"
negative,IS ANYONE AWAKE?!?!?!?! oh my god i am dying here. i want to go to SLEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEP. :[
positive,@harrisongilmore if only that was really my job title
neutral,want's to see '2001 Maniacs' Why won't it come through the post!?
neutral,@demonicangel81 yay but u have no idea what you look like
negative,@dublins98dave me too! I am down 400 euro
negative,"@AdamBien good luck. An me waiting that they are online, can't be in #JavaONE this year"
negative,"Dagnamit, latest power twitter update is pants - no clickable links"
negative,"Tired, tired, tired.. Didn't sleep well last night..   Thought too much.. Slept not much.. Glad that it's almost weekend!"
positive,home sweet home? i think no! huaaaa
negative,"Pretty sure my laptop just died 100%. HP DV2000, wireless problems constantly, tons of heat, won't start at all now. Fried circuit?"
negative,Oh man. I have been sick all night. I feel awful.
positive,I am totally knackered and back in the meeting
negative,Devon has caught and ate a fly. I dont know why she swallowed a fly. I guess she'll die.
negative,"@sianmclachlan Sorry, that was a bit negative!"
negative,"@gerald_d I can't view anything, Gerald. Not only am I banned, I can't even read the damn place."
negative,I am NOT in the mood for a long car drive
negative,"@mrugeshkarnik oh, /me still hasn't got around to starting it"
neutral,the weather is good mmm what to do today??? shame working tomorrow
negative,@Karina_Escobar some people seem to be getting over it pretty quick  and the guys to me didn't seem to care
neutral,Wish I was @ wembley
neutral,Work today
positive,"@BexieLady I feel for you, that sounds like how Kiya was last night  all I can say is get comfy on the couch and enjoy the cuddles!"
negative,Missing Going To Villa.. Another 2 Months With Out Them
negative,My friend went to New York without me and all I got was this picture of her and Will Smith  http://twitpic.com/669l2
positive,Omg its so gross out. no  relays tonight!
negative,"My heads spinning from math, started to dream in formulas. NOT good."
neutral,how do i get my cat 2stop killin rabbits? another headless (baby) rabbit n garden dis morn  live close 2field wher lots rabbits live
positive,I am hungry already. Not impressed! And everybody has gone to Rubys
neutral,@RedBaff no wine here - I don;t drink  - but I have have plenty of forbidden cholocate
negative,@russellprue (duh typo error) part 2: social networking??.. there isn't even room for people
negative,my head hurts
negative,@James_Phelps I was sad yesterday..1 of the guys from my fave band quit the band  and they replaced him
negative,Finally. Deleted her number from my phone contacts  #heartbreak
positive,TWEEEEEET! good morning twitterland! going to work at 1 so need to keep packing and cleaning this flat! move out in t minus one day
neutral,"@nawty I've been well, thx. Just getting up for an early morning meeting and wondering why I agreed to it. Don't like getting up early"
neutral,And this picture of her with Zack from Saved By The Bell  http://twitpic.com/669lg
positive,VERY upset....  Mom is in the hospital
negative,stuck in stupid Jeuno with flag up.  Wish I was in Windy fishing
positive,@DexterAddict Aw  *hugs* Sorry man.  If I were rich I'd buy u a ticket NOW!
neutral,I will get my business coursework done by today. I will. I will.. I won't.
negative,Mortified. could lose my job
neutral,@mateoviento don't see the link on my web interface
negative,@gfalcone601 ohhh ok. thats upsetting  sorry for wasting your time. xx
negative,"I want 2 get my nails done today, but according 2 superstition I can't. Guess I'll have 2 wait til tomorrow then..  off 2 French!"
negative,@spotibot I am afraid you've had a bit of a #fail as the last two recommendations aren't available in the UK
negative,@BeckyBuckwild Omg Beckky i love you! you should've won the 250G's  i was rootin for you.. hows things going?
negative,"dunno where to start, so many things to do..."
negative,"someone please tighten some bolts in my brain  :s  there are too many parts loose, some might even be missing"
neutral,"i should of gone to kirsty's for the night, anything to get out of the house"
negative,ahh yes the obligations of a vampire kept me away from twitter.but now i'm back &amp; will try 2 update as much as possible.i lost a donor
negative,bahhhh.. cold weather is making my teeth hurt.
negative,@chescaaaaaa  yeaaaahh.
neutral,"@rizzle_d We might not get Movie Night this week.  Unless it's like really early in the morning for you, lol."
negative,@JackAllTimeLow I wish I could go to your melbourne show but my parents won't let me  *cries*
negative,ooooh.... I have a headache.  Got to go to work now
negative,"I had a dream that I went to Evo fest, but I didn't."
negative,i m totally confused and bored.. my life must change!!
negative,@christineknight Poor love  Hope you get to relax somehow on the weekend.
negative,@lesley007 Morning Lesley...ya making me jealous
neutral,leaving tomorrow
neutral,im bored.. RC is goin maintenance
negative,Morning. Forgot my daily booth yesterday.. shocking! I want to sit in the garden today and read but we have a huge bees nest
negative,http://bit.ly/147HEU  - don't judge me. tucking myself in tonight  mogwai on repeat
neutral,I need something t do like hello... Im fucking bored now.  um... yeh...
negative,waiting for someone's SMS. it's been weeks and nearly a month  :?
negative,"@TaylorKarney Ugh, did you just say your friend might have swine flu? OMG, why?"
positive,Fighting a sore throat.. Few more days hard training then rest next week for Sunday race.. Oooohhh sun's out... Nope.. Gone...
negative,Home. Don't think i'll wake up at 5. :-p I had set an alarm for 6 in the kids' room &amp; forgot to turn it off. I feel bad about that.
negative,I wish i could sleep past four a.m. on my nights off  good morning!
negative,"It's this year. Can't catch it, won't be in NY till Oct 2010.   http://bit.ly/AF8JT"
negative,Want 2 transfer my Naini trip pictures 2my comp so I can upload thm on web bt i dnt hv my USB  Snt few via multimedia @ 5 Rs/pic. Expnsiv!
positive,yay cheerleading when im sick. its gonna be a fun  night peoples
neutral,"@NikForsyth july 8th flight gets in, my mate here is on about goin hm early so am all"
negative,Getting very frustrated by people who don't know what they want... can't wait to go home tonight...
